Y,Z
732.000000,9.289311
434.000000,-1014.101673
645.000000,-197.557494
882.000000,15.621390
1035.000000,275.659092
617.000000,-349.550186
859.000000,230.350821
1156.000000,163.836094
340.000000,-1943.540273
628.000000,-509.174978
1699.000000,346.974672
911.000000,510.848107
809.000000,-238.796947
755.000000,-385.609814
1094.000000,603.283884
923.000000,195.272812
1395.000000,364.426948
1232.000000,753.447210
1150.000000,508.940733
663.000000,-135.916203
699.000000,436.497648
805.000000,257.709530
865.000000,181.426007
937.000000,-121.984081
819.000000,150.572834
1003.000000,179.786597
1186.000000,291.735219
921.000000,548.754540
784.000000,-116.820755
830.000000,406.463709
904.000000,236.376510
519.000000,-820.346553
628.000000,-414.362111
953.000000,314.454518
971.000000,422.146247
903.000000,484.052680
823.000000,313.000361
1064.000000,454.087560
985.000000,236.512265
949.000000,401.633403
896.000000,23.923293
849.000000,-201.899704
600.000000,-525.952024
559.000000,-1110.853030
601.000000,-605.286925
1185.000000,391.872855
625.000000,-608.499748
822.000000,-111.514365
827.000000,147.554453
913.000000,442.599464
526.000000,-443.329113
494.000000,-1445.855853
648.000000,-136.523556
1701.000000,898.943556
931.000000,229.375569
701.000000,-664.063971
1490.000000,434.368260
775.000000,100.392068
664.000000,-763.247560
1035.000000,-76.445547
830.000000,175.862724
539.000000,-291.814387
933.000000,513.762790
794.000000,200.743468
899.000000,613.900426
520.000000,-845.278676
875.000000,409.804037
1425.000000,881.951805
543.000000,-1227.821914
964.000000,361.292133
798.000000,44.955350
1080.000000,594.060930
544.000000,-825.407122
624.000000,-1093.211739
1024.000000,551.591214
1237.000000,-94.590492
424.000000,-1498.547581
753.000000,-160.197845
553.000000,-538.243796
1822.000000,1021.320645
781.000000,195.238873
856.000000,-41.300602
588.000000,-435.474059
853.000000,449.821477
608.000000,-925.681455
567.000000,-1074.332877
1015.000000,178.667341
1139.000000,401.222374
499.000000,-929.876838
804.000000,140.999420
630.000000,-839.774081
819.000000,155.998479
1062.000000,660.643534
666.000000,-206.053840
549.000000,-770.220929
846.000000,116.195744
499.000000,-987.664956
772.000000,109.657210
842.000000,157.648961
505.000000,-550.440120
748.000000,178.521455
847.000000,121.127867
940.000000,214.189376
875.000000,255.102177
571.000000,-103.462987
985.000000,415.000361
1163.000000,286.411389
733.000000,-106.727188
902.000000,330.077429
422.000000,-1388.769594
764.000000,63.537013
940.000000,221.589333
974.000000,470.086619
858.000000,352.582024
888.000000,490.856357
878.000000,62.256313
883.000000,394.231564
918.000000,176.504956
437.000000,-740.466750
662.000000,-166.369420
701.000000,-908.783271
1411.000000,652.746291
459.000000,-1474.461323
609.000000,-1001.621827
1125.000000,600.155438
793.000000,-425.019901
533.000000,-371.643753
544.000000,-696.285984
517.000000,-838.013534
620.000000,-536.457560
1460.000000,824.994934
1180.000000,475.591214
780.000000,-401.054781
788.000000,470.975613
443.000000,-1102.980536
946.000000,334.649902
702.000000,393.693971
400.000000,-1844.549463
747.000000,-157.720820
2095.000000,507.282943
908.000000,634.660974
833.000000,-93.873074
947.000000,-229.815328
747.000000,-180.675810
1729.000000,748.823359
719.000000,-426.378610
544.000000,-875.894277
1663.000000,965.772921
807.000000,78.563643
622.000000,-656.817210
904.000000,610.489398
769.000000,30.015919
622.000000,110.119617
798.000000,70.605832
610.000000,-251.463928
1071.000000,74.812287
1035.000000,592.797669
471.000000,-1068.903468
1055.000000,340.513206
526.000000,-1118.657647
666.000000,-234.455678
673.000000,-221.703381
1012.000000,262.615022
669.000000,-493.259354
1134.000000,808.072002
891.000000,150.784716
780.000000,-66.788698
1129.000000,424.924234
502.000000,-568.081411
714.000000,-1449.600842
1119.000000,700.644475
570.000000,-294.559376
515.000000,-608.937407
687.000000,-364.030032
1068.000000,520.616904
495.000000,-804.397932
468.000000,-899.938347
763.000000,-231.052899
884.000000,37.726028
1269.000000,765.746291
479.000000,-1285.838413
782.000000,13.255372
584.000000,-784.244737
729.000000,-91.565744
436.000000,-1421.964977
566.000000,-540.226356
729.000000,-446.216225
626.000000,-155.105219
559.000000,-728.782330
1449.000000,744.293074
710.000000,-1093.204430
621.000000,-108.309792
1287.000000,735.686663
595.000000,-401.148348
1106.000000,163.974672
588.000000,-980.707144
917.000000,299.581083
1164.000000,773.609595
620.000000,-646.935525
637.000000,-665.570448
621.000000,-487.328173
997.000000,289.341630
1153.000000,457.292133
775.000000,-459.328173
913.000000,-312.062090
1102.000000,686.258195
670.000000,-721.824518
664.000000,-225.190536
1033.000000,464.881105
1043.000000,464.659092
943.000000,-348.336422
967.000000,470.282002
537.000000,-831.688763
1080.000000,537.505897
682.000000,-669.577757
477.000000,-708.723643
791.000000,-634.303424
852.000000,189.803096
917.000000,295.393009
1818.000000,813.088501
768.000000,-402.763009
659.000000,-820.074102
476.000000,-657.594256
1144.000000,-544.687822
1006.000000,468.881105
810.000000,280.898545
875.000000,59.587451
725.000000,-248.052899
943.000000,612.404081
711.000000,-252.627254
900.000000,391.060930
859.000000,245.829726
1058.000000,652.746291
568.000000,-1601.514583
1133.000000,575.480208
793.000000,114.581083
543.000000,-1036.014474
533.000000,-811.560317
1144.000000,747.011433
933.000000,406.522396
1160.000000,360.446269
684.000000,-355.431871
449.000000,-1409.215502
1005.000000,315.470077
1646.000000,1035.619726
970.000000,88.238873
932.000000,489.967363
503.000000,-933.330995
805.000000,-196.532746
553.000000,-1330.631958
846.000000,-197.703381
621.000000,-422.293293
496.000000,-1203.818150
791.000000,-223.463928
862.000000,41.495766
452.000000,-953.835590
951.000000,558.394890
508.000000,-1352.289748
1111.000000,336.308632
1039.000000,551.019683
761.000000,-223.258413
808.000000,50.820536
573.000000,-796.082352
927.000000,433.660033
922.000000,473.403140
1474.000000,1052.405962
964.000000,148.605832
1045.000000,666.660974
850.000000,173.298501
999.000000,541.831608
695.000000,-340.318041
432.000000,-1173.801652
767.000000,-136.959332
1240.000000,447.855416
910.000000,492.642593
